tweet,Kategori,cleaned_tweets
"@MaspiyuO Tampang si Jokowi dan Si Koruptor E-KTP puan mahaSial Pasti Berdalih agar tdk jadi Kelinci Percobaan... Rakyat Sebaiknya Jangan Suntik Vaksin Corona sebelum si Jokowi dan Menterinya serta ketua DPR/MPR di Suntik Vaksin..jadi kalau Gagal,..Biar mereka yg Tewas.  #TolakVaksinCorona",2,tampang jokowi koruptor e ktp puan maharani dalih kelinci coba rakyat suntik vaksin corona jokowi menteri ketua dpr mpr suntik vaksin gagal biar tewas
Ribet gini si corona teh. Di Bisnis teruss. Eh tapi emang udah dari awal sih jadi bisnis. Makannya si jerink di tangkep. Vaksin aje di jadiin bisnis. Dan seakan akan vaksin jadi jalan satu satunya jalan keluar dari si corona. PELER.,2,ruwet corona teh bisnis eh bisnis makan jerink tangkap vaksin jadiin bisnis akan vaksin jalan satu jalan corona peler
"@fadlizon Akal sehat pun harus dipakai. Sumber virus corona covid 19 berasal dari RRC/China , eeh jual obat pula , vaksin itu ke Indonesia,,,Bisnis emang kejam",2,akal sehat pakai sumber virus corona rokok asal rrc cina eeh jual obat vaksin indonesia bisnis kejam
"@fadlizon Sumber dan Asal birus corona covid 19 dari China , yg jual vaksin / obat virus corona pun dari China ,,, Bisnis emang kejam !!!",2,sumber virus corona rokok cina jual vaksin obat virus corona cina bisnis kejam
"Negara yang lalai menjaga rakyat dari terpapar virus corona, Lalu, negara nyari untung dengan menjual vaksin ke rakyat. Kok lama2 gua ngerasa kita dijadiin market bisnis ya sama negara. Semakin bnyk positif semakin orang takut corona. And then jualan swab, rapid, bahkan vaksin.",2,negara lalai jaga rakyat papar virus corona negara nyari untung jual vaksin rakyat jadi market bisnis negara bnyk positif orang takut corona jual swab rapid vaksin
"agak takut sama vaksin corona, takut jadi zombie😭🔫",2,takut vaksin corona takut zombie
"Kemarin saya jujur sempat sebal membaca vaksin itu ada yang menyebut ""Bisnis Vaksin Corona Bakal Semakin Menyehatkan Holding BUMN Farmasi"". Dalam hati saya, ""Ini sebenarnya BUMN untuk negeri, atau negeri untuk BUMN?"".",2,kemarin jujur sebal baca vaksin sebut bisnis vaksin corona sehat holding bumn farmasi hati bumn negeri negeri bumn
"@davgvr @AREAJULID Harusnya kalo orang yg udh disuntik vaksin trs dia ditularin org yg gk vaksin seharusnya gk mempan dong, kan udh divaksin biar antibodinya kuat lawan corona. Kalo akhirnya yg divaksin msh ttp kena, buat apa ada vaksinasi? Jadinya cmn ladang bisnis salah satu perusahaan farmasi",2,orang suntik vaksin ditularin orang vaksin mempan vaksin biar antibodi kuat lawan corona vaksin kena vaksinasi cuman ladang bisnis salah usaha farmasi
vaksinator untuk membantu program vaksinasi atau penyuntikan vaksin Virus Corona. Mari dukung program vaksinasi yang akan segera diresmikan #SemangatBangunBangsa  https://t.co/RKjiomk0Aw,1,vaksinator bantu program vaksinasi sunti vaksin virus corona mari dukung program vaksinasi resmi
PAN Dukung Jokowi Disuntik Vaksin Corona Duluan: Jadi Teladan  https://t.co/SlpiQSNXLF  https://t.co/arr2rRVloH,1,pan dukung jokowi suntik vaksin corona duluan teladan
"Gw gak mau vaksin Corona , takut😭😭mau gratis pun ttp gamau😭",2,vaksin corona takut gratis
"Jadi, ini vaksin corona bakalan bikin gimana nih?? Bikin kebal corona apa malah bikin mati? 😭😭 gak paham betul aku.",2,vaksin corona bikin bikin kebal corona bikin mati paham
PAN Dukung Jokowi Disuntik Vaksin Corona Duluan: Jadi Teladan  https://t.co/pcHM7yxbrn,1,pan dukung jokowi suntik vaksin corona duluan teladan
Asyik Vaksin anti corona gratis.trima kasih Pak Jokowi .,1,asyik vaksin anti corona gratis terima kasih jokowi
PAN Dukung Jokowi Disuntik Vaksin Corona Duluan: Jadi Teladan  https://t.co/FukccO0k2W,1,pan dukung jokowi suntik vaksin corona duluan teladan
"@Hilmi28 Covid adalah permainan setan, bisnis fuck sin, tolong pihak yg berkuasa menginvestigasi SOP kematian dibungkus Covid. Apapun penyakitnya, divonis Covid. Selama 14 abad lebih, setiap detik Kabah dithowafi, tempat ibadah buka, Corona Vaksin ID menutupnya  https://t.co/hziZ0REKRS",2,rokok main setan bisnis fuck sin tolong kuasa investigasi sop mati bungkus rokok apa sakit vonis rokok abad detik kabah dithowafi ibadah buka corona vaksin id tutup
"@susipudjiastuti Covid adalah permainan setan, bisnis fuck sin, tolong pihak yg berkuasa menginvestigasi SOP kematian dibungkus Covid. Apapun penyakitnya, divonis Covid. Selama 14 abad lebih, setiap detik Kabah dithowafi, tempat ibadah buka, Corona Vaksin ID menutupnya  https://t.co/hziZ0REKRS",2,rokok main setan bisnis fuck sin tolong kuasa investigasi sop mati bungkus rokok apa sakit vonis rokok abad detik kabah dithowafi ibadah buka corona vaksin id tutup
Alhamdulillah vaksin gratis 😁 Semoga corona cpt pergi.,1,alhamdulillah vaksin gratis moga corona cepat pergi
@KompasTV Semoga corona lekas berlalu setelah vaksin ini di berikan ke masyarakat 🙏🏿,1,moga corona lekas vaksin masyarakat
"@geloraco Di senter tipi yak pak presiden , nanti yg di suntik vitamin bukannya vaksin Corona ....???",2,senter tv presiden suntik vitamin vaksin corona
"tetep seneng akhirnya vaksin buat covid-19 digratisin, walopun akhirnya gue udah kena hehee seenggaknya yg lain jangan sampe kena dan corona cepetan pergi aja deh dari Indonesia.",1,senang vaksin rokok gratis kena hehee kena corona cepetan pergi indonesia
"Kalo vaksin gk bikin corona jd 0%, trus buat apa?",2,vaksin bikin corona
Vaksin menjadi satu-satunya harapan bagi seluruh umat manusia yang hidup di muka bumi untuk bisa terlepas dari virus Corona seri terbaru yang sudah menyebar di hampir seluruh bumi ini selama 11 bulan terakhir dan telah mendisrupsi tatanan hidup manusia modern,1,vaksin satu harap umat manusia hidup muka bumi lepas virus corona seri baru sebar bumi disrupsi tatanan hidup manusia modern
"Sebelum ada izin dan jaminan resmi pemakaian vaksin maka yg menawarkan vaksin corona bisa jadi adalah penjahat.HATI-HATI,sekarang banyak penjahat nan sadis dan biadab. #vaksincovid19blmterbuktiaman",2,izin jamin resmi pakai vaksin tawar vaksin corona jahat hati hati jahat nan sadis biadab
Corona = mematikan Vaksin corona = menyembuhkan Pemerintah = mengatur pemasukan vaksin ke dalam negeri.  MASYARAKAT = HMMM POLITIK ANJING,2,corona mati vaksin corona sembuh perintah atur pasu vaksin negeri masyarakat hmmm politik anjing
"Pemimpin dulu baru rakyat,  Jangan bisanya nyuruh doang!!  DILUAR NEGERI YANG JADI KORBAN VAKSIN UDAH BANYAK.  #Jokowi  #vaksin #vaksincorona  https://t.co/vRyHjdOerT",2,pimpin rakyat bisa suruh doang luar negeri korban vaksin
Kabarnya cina beli vaksin pfizer dari jerman tapi anehnya kita malah beli vaksin dari cina.Jika mau vaksin corona kita harus hati2 ya.Jgn mau di vaksin dgn vaksin yg belum diakui dunia.Jaga diri masing2 demi kebaikan semua.,2,kabar cina beli vaksin pfizer jerman aneh beli vaksin cina vaksin corona hati vaksin vaksin aku dunia jaga baik
@MemeComicIndo Sudah sudah lg lah vaksin hiv aja dri dlu sampe skrng blm ada gtu mau prcya vaksin corona open your eye please,1,vaksin hiv skrng percaya vaksin corona buka mata tolong
Vaksin COVID-19 merupakan langkah aman dan tepat untuk melawan virus Corona COVID-19  #Covid19 #VirusCorona #SocialDistancing #PhysicalDistancing #ProtokolKesehatan #AdaptasiKebiasaanBaru #FaceShield  https://t.co/7Pk7NpBaIc,1,vaksin rokok langkah aman lawan virus corona rokok
Vaksin memberikan dampak positif pada industri pelayaran. #JokowiLawanPandemi #VaksinBersamaKita #Vaksin #Corona #Covid19  https://t.co/sAyZUljPVF,1,vaksin dampak positif industri layar
Vaksinisasi adalah upaya pemerintah untuk percepatan penanggulangan pandemi. #JokowiLawanPandemi #VaksinBersamaKita #Vaksin #Corona #Covid19  https://t.co/959zDjScXG,1,vaksin upaya perintah cepat tanggulang pandemi
@setkabgoid @fitrirahma5 @jokowi Masih ngerihhhh 😱 efek samping dari vaksin virus Corona....,2,ngeri efek samping vaksin virus corona
dilema banget sama vaksin corona. help :(,2,dilema banget vaksin corona tolong
"Viral foto perempuan dengan kaki melepuh, efek samping vaksin corona? #kumparanNEWS  https://t.co/s4GdKhVl5t",2,viral foto perempuan kaki lepuh efek samping vaksin corona
"@arisnandha @jokowi Jadi ada ngerii dan bingung juga antara di vaksin Dan tidak nya.😟 Temen saya itu di Taiwan, padahal disana padahal disana penanganan corona bagus.  Jadi yaa temen saya itu pulang ke Indonesia dalam keadaan lumpuh duduk dikursi roda.",2,ngeri bingung vaksin teman taiwan sana sana tangan corona bagus teman pulang indonesia lumpuh duduk kursi roda
vaksin corona = virus jombi,2,vaksin corona virus zombie
Terimakasih pak @jokowi telah menerima masukan dari masyarakat untuk menggratiskan vaksin.  Alhamdulillah..Semoga dengan ini ekonomi indonesia kembali bangkit dan mudah-mudahan vaksinnya efektif untuk mencegah penularan virus corona. Aamiin,1,terima kasih terima masuk masyarakat gratis vaksin alhamdulillah moga ekonomi indonesia bangkit mudah mudah vaksin efektif cegah tular virus corona amin
"2020ku hidup berdampingan dengan corona tanpa saling mengenal dan tak akan ada kesempatan tuk ku berkenalan lagi,  terimakasih vaksin gratisnya pak jokowi semoga tidak ada kendala 🙏🏻",1,hidup damping corona kenal sempat nal terima kasih vaksin gratis jokowi moga kendala
Terima kasih pak presiden harapan satu2nya untuk menanggulangi corona adalah vaksin sehingga masyarakat bisa kerja normal lagi,1,terima kasih presiden harap satu tanggulang corona vaksin masyarakat kerja normal
"Selain itu, Presiden Jokowi juga menegaskan kembali, akan menjadi penerima vaksin virus Corona (COVID-19) pertama di Indonesia. Keputusan ini diambil Jokowi guna meyakinkan masyarakat bahwa vaksin yang digunakan aman.",1,presiden jokowi terima vaksin virus corona rokok indonesia putus ambil jokowi masyarakat vaksin aman
Vaksin gratiss... joss.2021. Ekonomi pulih. Corona hilang. Hidup normal .. : ) Bisa plesiran. Bikin konten di luar negeri : ),1,vaksin gratiss mantap ekonomi pulih corona hilang hidup normal plesiran bikin konten negeri
"@TirtoID Waktu disuntik, isi nya dipastiin beneran vaksin corona dulu, ntar tau nya suntik vitamin doang lagi.  https://t.co/7Gy2kpWmAM",1,suntik isi beneran vaksin corona suntik vitamin doang
"Tadi pagi ngetwit ini gara2 bingung sama berita vaksin di indonesia. Sore ini baca vaksin di indo gratis utk semua warga. Nah gitu dong. Moga2 nanti vaksinnya bagus ya, biar corona ini segera ilang lalu bisa ngonser lagi, bisa liburan dgn bebas lagi, bisa nongkrong lagi.",1,pagi tweet gara bingung berita vaksin indonesia sore baca vaksin indonesia gratis warga moga vaksin bagus biar corona hilang konser libur bebas tongkrong
Siap untuk di paksin..untuk menjaga kesehatan.apalagi dari virus corona..jangan takut di vaksin..,1,vaksin jaga sehat virus corona takut vaksin
"Alhamdulillah banget kalau vaksin corona gratis, gw tau sih sulit untuk kembali normal, tapi paling nggak, dengan vaksin gw tidak se 'Parno' biasanya..   bismillah",1,alhamdulillah banget vaksin corona gratis sulit normal vaksin paranoia bismillah
"Terimakasih untuk vaksin Covid-19 gratisnya, Pak Jokowi. Semoga vaksin ini ampuh menangkal virus corona. Aamiin🤲🙏",1,terima kasih vaksin rokok gratis jokowi moga vaksin ampuh tangkal virus corona amin
"Setelah simpang siur berita soal Vaksin, akhirnya bapak Presiden @jokowi menyampaikan kabar gembira, bahwa Vaksin Covid-19 GRATIS untuk seluruh rakyat Indonesia dimanapun mereka berada.   Semoga kita bisa segera terbebas dari corona.  https://t.co/KUDpnyreke",1,simpang siur berita vaksin presiden kabar gembira vaksin rokok gratis rakyat indonesia mana moga bebas corona
Alhamdulillah Presiden @jokowi  sudah menginstruksikan vaksin diberikan gratis untuk seluruh masyarakat Indonesia. Semoga kita dapat memutus penyebaran virus corona ini dengan cepat.  @lawancovid19_id @kemkominfo @KemenBUMN @KemenkesRI   #VaksinGratisUtkRakyat  https://t.co/oE5A8z0n0H,1,alhamdulillah presiden instruksi vaksin gratis masyarakat indonesia moga putus sebar virus corona cepat
semoga vaksinnya vaksin yg terbaik dan ampuh mengusir corona biar keadaan kembali normal lagi,1,moga vaksin vaksin baik ampuh usir corona biar normal
Hore…! Presiden Jokowi Gratiskan Vaksin Covid-19 Untuk Masyarakat  https://t.co/oxlrbu0M3K  #jokowi #vaksincorona #COVID19,1,hore presiden jokowi gratis vaksin rokok masyarakat
@Frenkycaur @detikcom ga mau vaksin udah kena corona jangan ngemis2 minta tanggung negara UDAH MISKIN BELAGU LO,2,vaksin kena corona emis tanggung negara miskin pura pura
"mmm menarik semoga vaksin ini merupakan pilihan paling tepat, berharap banyak deh sama vaksin ini biar corona hempass..",1,mmm tarik moga vaksin pilih harap vaksin biar corona hempas
"semoga vaksin ini adalah vaksin yang paling ampuh buat ngebunuh si virus Corona ini, udah bosen dirumah pengen jalan jalan lagi :"")",1,moga vaksin vaksin ampuh bunuh virus corona bosan rumah jalan jalan
Gimana nih kalian semua pasti gasabar Corona bakal di selesaikan? Karna Vaksin udah siap di sebarkan lho gengs!    https://t.co/6yyddFczPH,1,sabar corona selesai vaksin sebar teman teman
Yg kmaren ngomel2 cepatlah corona pergi. Yuk vaksin yuk!,1,kemarin ngomel cepat corona pergi ayo vaksin ayo
"Semoga vaksin ini adalah vaksin yang paling ampuh buat ngebunuh si corona, jadi keadaan kita bisa kembali normal, bisa beraktivitas seperti dulu lagi",1,moga vaksin vaksin ampuh bunuh corona normal aktivitas
"Pemerintah cc @KemenkesRI juga tolong jelaskan ""kemanjuran"" vaksin Sinovac ini. Hak publik mengetahuinya krn belinya pakai uang rakyat. Jangan sampai sia², disuntikkan ke tubuh rakyat ternyata tak ampuh tangkal corona. Tetap saling menulari. Tujuan herd imunity jadi tdk tercapai.",2,perintah tolong manjur vaksin sinovac hak publik tahu beli pakai uang rakyat sia sis suntik tubuh rakyat ampuh tangkal corona tular tuju herd imunity capai
"@vandetaz @barmi_mirza @samuderabiru86 @uchihakinderman @ags_arya @Nuridaaaa8 @Sugiyan98725937 @CNNIndonesia hadeehh....  yg namanya kepala negara yaa bisa negara apa sj.. kok km sewot bngeet siih..  lagiaann... aq gk trllu mngurusi yg namanya vaksin...  makanya cuma rusia yg aq liat ,  ngpain juga ngurus vaksin... tooh corona hanya penyakit dagangan dari cina biar vaksinnya laku 😏",2,aduh nama kepala negara negara sewot banget urus nama vaksin rusia liat urus vaksin tooh corona sakit dagang cina biar vaksin laku
"@Adityajrrr @amerrsya Boro2 vaksin, dari awal corona muncul aja gapernah test, alhamdulillah sehat🙌🏼",2,boro vaksin corona muncul test alhamdulillah sehat
"@fadlizon Akal sehat pun harus dipakai. Sumber virus corona covid 19 berasal dari RRC/China , eeh jual obat pula , vaksin itu ke Indonesia,,,Bisnis emang kejam",1,akal sehat pakai sumber virus corona rokok asal rrc cina eeh jual obat vaksin indonesia bisnis kejam
"@fadlizon Sumber dan Asal birus corona covid 19 dari China , yg jual vaksin / obat virus corona pun dari China ,,, Bisnis emang kejam !!!",1,sumber virus corona rokok cina jual vaksin obat virus corona cina bisnis kejam
